,Question,Answer,Class
18,document require open current account partnership firm,Following documents are required for opening a Current Account of a partnership firm: Latest Partnership Deed Documents establishing proof of existence - Certificate of Registration under any Statute/Act or professional bodies - Registration Certificate issued by Registrar of Firms - Valid Business License or Certificate of Registration issued by State/Central Government authority (validity would include the grace period for renewal as mentioned in the certificate) - PAN Card in the name of the firm; - Self-signed cheque issued from the firmâ€™s account from a PSU/private sector/foreign bank along with a bank statement not older than four months Documents for establishing proof of address - Landline telephone bill/electricity bill of public and approved private operators in the State. (Bills not to be older than 4 months from the date of account opening) - Property Ownership Deed i.e. title deeds of the property in the name of the firm duly stamped and registered - Latest property tax or water tax paid receipt/bill raised in the name of the firm - TAN Allotment Letter in the name of the firm - Existing bank account statement or passbook of a PSU/private sector/foreign bank - Statement not older than 4 months from the date of account opening to be accepted Documents for establishing photo identity of authorised partners/signatories View more,0
19,eligible mn bank regular current account,"If the Average Quarterly Balance (AQB) in your Current Account is over Rs.10,000 you are eligible to enjoy the benefits of a Regular Current Account.",0
20,open regular current account location company office,"No. As a Regular Current account holder you have the advantage of single account, multi-location banking.",0
21,initial deposit require open flexi account,"The initial deposit amount to open a Flexi Current account is Rs.75,000.",0
22,case unable access company current account netbanking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorized Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this. For more details, Contact Us View more",0
23,flexi current account different regular current account,"The Flexi account includes the following privileges: Flexibility of higher cash deposits (home location) and transactions anywhere (payments, collections and funds transfers), limits during peak seasons, since these are based on the Average Monthly Balance (AMB) maintained in the account. Calculation of free transaction limits based on balances maintained in the transaction month, leading to a high level of customization in tune with current business requirements. For example, if your season starts in November, you get a transaction limit based on the balance maintained by you in November, and not in October or September. Low minimum balance requirement of Rs. 75,000 per month. Competitive pricing on and faster Collection of Outstation Cheques. Up to 40 free Pay Orders and 40 free Demand Drafts per month. Free RTGS and NEFT Transactions. These privileges make a Flexi Current account different from a Regular Current account. View more",0
24,transaction include free transaction limit month,The following transactions together comprise part of the Free Anywhere Transaction Limit: Cheques deposited into the account in other cities (in local clearing / within Bank) Inter-city payable-at-par cheques issued. Inter-city account to account funds transfers (Cheque Payments & Collections) within M&N  Bank Accounts. View more,0
25,cash deposit month home branch charge,"The free cash deposit limit at your home branch depends on the AMB you have maintained during the transaction month. This free limit is calculated as 10 times the actual AMB maintained during the transaction month or 50 transactions per month, whichever is less. In case you make more than 50 transactions or your cash deposits are more than 10 times your AMB at your home branch, you will have to pay a charge of Rs. 3 per Rs. 1,000, subject to a minimum of Rs. 50 (excluding taxes). If I maintainI get Monthly Free If I utilizeI am Charged Average Monthly Balance (AMB) in Rs. Home Location Cash Deposit in Rs. (Subject to maximum of 50 transactions) Actual Home Location Cash Deposit in Rs. Rs. (excluding 12.36% Service Tax & Education Cess) 50,000 5,00,000 7,50,000 1,750 (750 + 1000**) 75,000 7,50,000 11,00,000 1,050 1,00,000 10,00,000 9,50,000 Nil 2,21,103* 22,11,000* 20,00,000 Nil 3,00,000 30,00,000 37,00,000 2,100 5,00,000 50,00,000 45,00,000 Nil 10,00,000 1,00,00,000 60,00,000 Nil *The Home Location Cash Deposit Free limit is rounded off to the nearest thousand ** AMB non-maintenance charges View more",0
26,access account mn bank branch,Yes. All M&N  Bank branches and systems are interconnected by state-of-the-art technology and allow access at all times.,0
27,minimum balance need maintain flexi current account,"You have to maintain an Average Monthly Balance (AMB) of Rs. 75,000 in a Flexi Current account. If you are unable to maintain the AMB you will be have to pay a charge of Rs. 1,000 for the month in which the AMB has not been maintained.",0
28,minimum balance require apex current account,"You need to maintain an Average Quarterly Balance (AQB) of Rs. 10,00,000 in your Apex Current account.",0
29,necessary open apex current account location company office,"No. With a Apex Current Account, you enjoy the advantage of a single account with multi-location banking.",0
30,payment supplier mn bank branch single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",0
31,case unable access company current account net banking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorized Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this. For more details, Contact Us",0
32,apex current account different regular current account,An Apex Current account includes the following privileges: Higher free limit of Rs. 120 Lakhs per month for cash deposits at your home branch Unlimited free clearing transactions anywhere for payments and collections Free and faster collection of outstation cheques at M&N  Bank locations Free Demand Drafts and Pay Orders Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Business Debit Card These features make an Apex Current account different from a regular Current account. View more,0
33,transaction include free transaction limit month,The following transactions comprise part of the Free Anywhere Transaction limit: Cheque deposited into the account in other cities (in local clearing) Inter-city Payable-at-Par cheque issuance. View more,0
34,transaction include free transaction limit month,The following transactions comprise part of the Free Anywhere Transaction Limit: Cheque deposited into the account in other cities (in local clearing) Inter-city payable-at-par cheques issued View more,0
35,necessary open max current account location company office,No. With your Max Current account you enjoy the advantage of single account with multi-location banking.,0
36,initial deposit require open max current account,"You need an initial deposit of Rs. 5,00,000 to open a Max Current account.",0
37,minimum balance need maintain max current account,"You need to maintain an Average Quarterly Balance of Rs. 5,00,000 in your Max Current account.",0
38,mn bank max current account different regular current account,Your Max Current account includes the following privileges: Combined free limit of 60 Lacs per month at home and Non- Home Locations. Free and faster collection of outstation cheques at M&N  Bank locations Free Demand Drafts and Pay Orders Free RTGS and NEFT transactions Free BillPay & InstaAlerts Free Business Debit Card This makes a Max Current account different from a regular Current account. View more,0
39,open account location company office,"No. As a Premium Current Account holder you have the advantage of a single account, multi-location banking facility.",0
40,minimum average monthly balance require merchant advantage current account,"You have to maintain a minimum Average Monthly Balance (AMB) of Rs. 25,000.",0
41,open merchant advantage current account location company office,No. A Merchant Advantage Current Account gives you the advantage of a single account with multi-location banking.,0
42,access merchant advantage plus current account mn bank branch,Yes. The advanced technology of our systems provides you with the flexibility of accessing your account from any M&N  Bank branch.,0
43,merchant plus current account payment supplier mn bank branch single cheque book,"Yes. When you open an account, you will be issued an at-par cheque book, which is payable at M&N  Bank branches.",0
44,merchant advantage plus current account different regular current account offer bank,A Merchant Advantage Plus Current Account offers you the following privileges: Free limit for cash deposits up to four times the amount swiped at the M&N  Bank EDC machine linked to your Merchant Advantage Plus Current Account Free and faster collection of outstation cheques at M&N  Bank locations Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Regular and Business Debit Cards These privileges make a Merchant Advantage Plus Current account different from a Regular Current account. View more,0
45,merchant advantage plus current account different regular current account offer bank,A Merchant Advantage Plus Current Account offers you the following privileges: Free limit for cash deposits up to four times the amount swiped at the M&N  Bank EDC machine linked to your Merchant Advantage Plus Current Account Free inter-city clearing between M&N  Bank branch locations (except Dahej) up to Rs.50 Lakhs per month Free and faster collection of outstation cheques at M&N  Bank locations Free RTGS and NEFT transactions Free BillPay and InstaAlerts Free Regular and Business Debit Cards These privileges make a Merchant Advantage Plus Current account different from a Regular Current account. View more,0
46,minimum average monthly balance maintain merchant advantage plus current account,"You have to maintain a minimum Average Monthly Balance (AMB) of Rs. 1,00,000 with your Merchant Advantage Plus Current account.",0
47,necessary open ultima current account location company office,"No. With an Ultima Current Account, you enjoy the advantage of a single account with multi-location banking.",0
48,access account telephone conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: - Access your account details - Request account statements - Make Fixed Deposit related queries - Inquire about interest and FX rates - Request a cash delivery or pick-up - Order a new cheque book,0
49,ultima current account different regular current account,An Ultima Current account includes the following privileges: - Higher free limit of Rs. 2Cr per month for cash deposits at your home branch - Unlimited free clearing transactions anywhere for payments and collections - Free and faster collection of outstation cheque at M&N  Bank locations - Free Demand Drafts and Pay Orders - Free RTGS and NEFT transactions - Free BillPay and InstaAlerts - Free Business Debit Card,0
50,minimum balance require ultima current account,"You need to maintain an Average Quarterly Balance (AQB) of Rs. 20,00,000 in your Ultima Current account.",0
51,transaction include free transaction limit month,The following transactions comprise part of the Free Anywhere Transaction limit: - Cheque deposited into the account in other cities (in local clearing) - Inter-city Payable-at-Par cheque issuance,0
52,case unable access company current account net banking,"If you are unable to access your company account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Companies, separate Customer IDs are created in name of the Company as well as each of the Authorised Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Company's Account. However, we regret our inability to disclose the appropriate Customer ID on an unsecure e-mail and request you to contact our nearest Branch or PhoneBanking Center for this.For more details, Contact Us",0
53,minimum doc require open institutional current account,Non-individual (Current account) AOD to be completed Registration proof with any state regulatory authority ORCertificate of Registration with the Local Charities Commissioner (for charitable trusts) Certified Copy of the Trust Deed / Bye-laws /MOA /Constitution Proof of address of the institute Certified Copy of the Resolution from Board of Trustees defining who is going to be the authorized signatories in the account / authorizing the opening & conduct of the account Proof of appointment of present Trustees/Governing Body members in case they are not listed in the Trust Deed/Bye-laws Pan Card/Form 60/No Pan declaration as may be applicable FCRA declaration Beneficial Ownership declaration (only for Trusts & Association of Persons) Photograph & proof of identity of all authorized signatories,0
54,institutional current account different regular current account,An Institutional Current Account includes the following privileges: Free limit of Rs. 50 Lakhs per month for cash deposits at your home branch Free and faster collection of outstation cheques at M&N  Bank locations Free Demand Drafts and Pay Orders Free RTGS and NEFT Collections and upto 25 transactions free for NEFT/RTGS payments. Free BillPay and InstaAlerts Free Business Debit Card These features make an Institutional Current Account different from a Regular Current account.,0
55,case unable access institutional current account net banking,"If you are unable to access you Institutional account, it may be because you have entered an incorrect Customer Identification Number (Cust ID) to log into your NetBanking Account. While opening Accounts of Institutes, separate Customer IDs are created in the name of the Institute, as well as each Authorised Signatory(ies). The latter is distinct and has to be used to access NetBanking for the Institutes Account. However, since we do not disclose the Institutes Customer ID on an unsecure e-mail, the Institute will have to contact their nearest Branch or PhoneBanking Center for this. For more details, Contact Us",0
56,open institutional current account location company office,"No. As a Institutional Current Account holder you have the advantage of single account, multi-location banking.",0
57,minimum balance require institutional current account,No minimum balance requirement.,0
58,eligible mn bank institutional current account,To become eligible for an M&N  Bank Institutional Current Account you belong to one of the eligibility criteria mentioned above.,0
59,access account telephone conduct routine daily transaction,Yes you can. You can use PhoneBanking to perform the following operations: Access your account details Request account statements Make Fixed Deposit related queries Inquire about interest and FX rates Request a cash delivery or pick-up Order a new cheque book,0
60,necessary open institutional current account location company office,"No. With a Institutional Current Account , you enjoy the advantage of a single account with multi-location banking.",0
61,transaction include free transaction limit month,The following transactions comprise part of the Free Anywhere Transaction limit: Cheque deposited into the account in other cities (in local clearing) Inter-city Payable-at-Par cheque issuance.,0
62,permissible debit rfc domestic account,"The funds in a Resident Foreign Currency Domestic Account opened or held or maintained shall be free from all restrictions regarding utilization of foreign currency balances, including any restriction on investment in any form, by whatever name called, outside India.",0
63,open rfc domestic account,"Any person who is a resident Indian can open an RFC Domestic account, as long as the foreign exchange earned is in line with the permissible credits as defined in the RBI circular.",0
64,permissible credit rfc domestic account,"As per the RBI directive, the following can be credited into an RFC Domestic Account: a) Received as pension or any other superannuation or other monetary benefits from his employer outside India; or b) Realised on conversion of the assets referred to in sub-section (4) of section 6 of the Act, and repatriated to India; or c) Received or acquired, as gift or inheritance, from a person referred to in sub-section (4) of section 6 of the Act; or d) Referred to in clause (c) of section 9 of the Act, or acquired as gift or inheritance therefrom. View more",0
65,currency open rfc domestic account,"An RFC Domestic Account can be opened in three different currencies, i.e. USD / Euro / GBP.",0
66,eefc balance cover exchange risk,"Yes, the EEFC account balances can be hedged.",0
67,restriction withdrawal rupee fund hold eefc account,"No, there is no restriction on withdrawal in rupees of funds held in an EEFC account. However, the amount withdrawn in rupees shall not be eligible for conversion into foreign currency and for re-credit to the account.",0
68,foreign exchange earning credit eefc account,"100% foreign exchange earnings can be credited to the EEFC account subject to the condition that the sum total of the accruals in the account during a calendar month should be converted into rupees on or before the last day of the succeeding calendar month after adjusting for utilisation of the balances for approved purposes or forward commitments. Refer to the RBI circular on below link. Note: In accordance with Reserve Bank of India's circular no. A. P. (DIR Series) Circular No. 12 dated 31st of July 2012, the balances outstanding in all EEFC / Diamond Dollar Account (DDA) and RFC (D) accounts as on last day of a Current month, shall be converted into Rupees by the Bank on the last working day of the succeeding month, if such balance is not utilised by the account holder before the last day of succeeding month. Such mandatory conversion by the bank on the last working day of the succeeding month will be done at the prevailing TT buying card rate. In case, customer has booked Forward Contract/s for conversion of balances in these accounts at a future date which is falling beyond the last day of the succeeding month, such contracted amount shall be deducted from the eligible amount for the mandatory conversion. In case customer has any payment to be made in future from these accounts beyond the last day of the succeeding month then bank should be duly informed before 25th of the succeeding month in writing through Relationship Manager / Branch Manager for holding back the conversion to that extent. The customer needs to submit the underlying documents of such future transaction/s. This will be an on-going procedure till we receive revised instructions from Reserve Bank of India. View more",0
69,permissible credit eefc account,"Inward remittance through normal banking channels, other than remittances received on account of foreign currency loan or investment received from abroad or received for meeting specific obligations by the account holder; Payments received in foreign exchange by a 100 per cent Export Oriented Unit or a unit in (a) Export Processing Zone or (b) Software Technology Park or (c) Electronic Hardware Technology Park for supply of goods to similar such units or to a unit in domestic tariff area; Payments received in foreign exchange by a unit in the domestic tariff area for supply of goods to a unit in the Special Economic Zone (SEZ); Payment received by an exporter from an account maintained with an authorised dealer for the purpose of counter trade. (Counter trade is an arrangement involving adjustment of value of goods imported into India against value of goods exported from India in terms of the Reserve Bank guidelines); Advance remittance received by an exporter towards export of goods or services; Professional earnings including directors fees, consultancy fees, lecture fees, honorarium and similar other earnings received by a professional by rendering services in his individual capacity; Re-credit of unutilised foreign currency earlier withdrawn from the account; Amount representing repayment by the account holder's importer customer, of loan/advances granted, to the exporter holding such account; and The disinvestment proceeds received by the resident account holder on conversion of shares held by him to ADRs/GDRs under the Sponsored ADR/GDR Scheme approved by the Foreign Investment Promotion Board of the Government of India. View more",0
70,permissible debit account,"Payment outside India towards a permissible current account transaction [in accordance to the provisions of the Foreign Exchange Management (Current Account Transactions) Rules, 2000] and permissible capital account transaction [in accordance to the Foreign Exchange Management (Permissible Capital Account Transactions) Regulations, 2000]. Payment in foreign exchange towards cost of goods purchased from a 100 percent export oriented unit or a unit in (a) Export Processing Zone or (b) Software Technology Park or (c) Electronic Hardware Technology Park. Payment of customs duty in accordance with the provisions of the Foreign Trade Policy of the Central Government for the time being in force. Trade related loans/advances, extended by an exporter holding such account to his importer customer outside India, subject to compliance with the Foreign Exchange Management (Borrowing and Lending in Foreign Exchange) Regulations, 2000. Payment in foreign exchange to a person resident in India for supply of goods/services including payments for airfare and hotel expenditure. View more",0
71,benefit smartup solution,"A suitable choice of Current Account for your business and transaction needs - Alliances for your Start-up - Advisory Services - Co-working Spaces - Logistics - Public Relations - Digital Marketing services - Content Writing Smart-Buy -Accelerate your business with the right marketing channel at the right time. Get access to 37 million potential customers to accelerate your growth. Smart-Up Portal - Meet other start-ups, customers, mentors, investors all by simply registering for the Smart-Up Program Digital & Cash Management Solutions Forex Advisory",0
72,offer salary account smartup programme,"No minimum requirement of number of salary accounts and Average salary to be more than Rs. 25,000 - Zero Balance Salary Account ,Free payable at par cheque book -Platinum Debit Card with higher limits for cash withdrawal at ATMs and usage at shopping outlets - Corporate Microsite (Whenever applicable) â€“ a customised webpage highlighting our offers for companyâ€™s employees at no cost. - Online investment and Loan facility. - Cashback of Re.1* for every Rs.100 spent at merchant outlets.",0
73,query need visit branch,Simply message â€˜SMARTUPâ€™ to 5676712 or send us a mail at [email protected] and our Relationship Manager will promptly get back to you & answer all your queries.,0
74,key feature cms ecms mn bank,a. CMS â€“ - End-to-end solution to your payment and collection requirements through our Cash Management Services at extremely attractive rates - Consistently voted â€œBest Bank in Cash Management Servicesâ€ - Cash management services are offered at over 2400 locations b. eCMS - - Tailor made product offering for electronic collections - Ease of reconciliation for your business - STP credit with real time notification - Credit confirmation to the remitter - Integrated MIS offering â€“ secure data transmission,0
75,collection solution available,a. Cash Management Services - End-to-end solution to your payment and collection requirements through our Cash Management Services at extremely attractive rates - Consistently voted â€œBest Bank in Cash Management Servicesâ€ - Cash management services are offered at over 2400 locations b. eCMS - Tailor made product offering for electronic collections - Ease of reconciliation for your business - STP credit with real time notification - Credit confirmation to the remitter - Integrated MIS offering â€“ secure data transmission c. Payzapp for Business - Revolutionary invoicing solution by M&N  Bank which enables start-ups to request and receive payments on the go. - Ideal for all start-ups who need to collect Payment on delivery / Advance payment / Balance payment/ On-field collection. - Instant flow of cash in to your account d. Chillr - This is a revolutionary application which lets merchants request money from other Chillr users using the Collect feature. A QR Code/Alpha Code is generated which the sender has to scan to complete the payment. - Merchant can also view his transaction history,0
76,key feature current account,"Current Account Varaint SMARTUP ALPHA SMARTUP MAX Current Account Feature Minimum Balance Requirement Zero Balance for 1 Year, subject to any 2 debit transactions in the first 6 months from account opening Year 2 onwards Rs. 25,000 Average Quarterly Balance 5,00,000 Average Quarterly Balance Enjoy privileges of Preferred Banking* Free Cheque Leaves 100 Per Month 500 Per Month RTGS & NEFT FREE FREE Local & Anywhere cheque collections/payments and fund transfer FREE FREE Free Cash Deposit Limit Per month across all branches Upto 12 times the Average Monthly Balance per month or 25 transactions whichever is lower,(subject to maximum Rs 100 lacs/month) Upto 12 times the Current month Average Monthly Balance or 60 Lakhs or 60 transactions which breached first (subject to maximum Rs 200 lacs/month) Additional Privileges Debit Card Platinum Debit Card with No Annual Fee 1 cash back for every Rs 100 spent * Times Debit Card with No Annual Fee Earn 2 Times Points for every Rs. 150 spent * Exclusive Discount of 10% or more on online lifestyle, entertainment, dining and grocery * Corporate Credit Card (FD backed card with credit limit of 75%) Business MoneyBack (FD Amount Rs. 45000) Business Regalia First (FD Rs.2,00,000) Business Regalia- (FD Rs. 4,00,000) Business MoneyBack (FD Amount Rs. 45000) Business Regalia First (FD Rs.2,00,000) Business Regalia- (FD Rs. 4,00,000)",0
77,key feature payment gateway mn bank,"- Acceptance of online payments through cards/ NetBanking and IMPS - Value Added Services such as EMI (Easy Monthly Instalment), Standing Instructions (for recurring payment), IVR (Interactive Voice Response System), intelligent online reporting of success/failed transactions, dynamic routing across gateways to ensure best success rate, tokenisation etc - All the above on a plug & play model with simple documentation and T+1 settlement thereby enabling faster business go-live and better funds management - One of industryâ€™s best risk monitoring capability - Dedicated in-house service team for all time support",0
78,benefit payzapp business,Payzapp for business is arevolutionary invoicing solution by M&N  Bank which enables start-ups to request and receive payments on the go. Ideal for all start-ups who need to collect Payment on delivery / Advance payment / Balance payment / On-field collection. Benefits to Start-ups â€“ - Instant flow of money to start-ups account - Convenient and Secure Money Transfer - No hassles of Cash Management,0
79,open smartup current account,"SmartUp Solutions is targeted primarily for the newly incorporated Start-up companies working towards innovation, development, deployment or commercialization of new products, processes or services driven by technology or intellectual property. - Proprietorship, Partnerships, LLP, Private limited companies and Limited companies can open this account. - Date of incorporation / registration of business should not be more than five years from date of account opening",0
80,smartup solution,"A SMART solution for your StartUp. SmartUp is here to assist you in achieving your startup goals with smart financial tools, smart advisory services and technology.",0
81,payment solution available,"I. Digital Payments a. Payment Gateway - Complete Internet-based payment processing and management solutions for all cards issued in India and abroad - An integrated, flexible, rule-based, proactive risk management system that supports evaluation of transaction activity - Highly reliable uptime and best transaction success rate - Scalable to process millions of transactions per month on a real time basis - In-house dedicated helpdesk to resolve queries b. POS - Avoid hassles of cash &cheque collection & management - POS, mPOS, GPRS variants available - Low on-boardingtime II. Bulk Payments I. e-Banking solutions (E-Net)-Online platform for bulk remittances within and outside the bank II. Salary/Vendor payments â€“An integrated platform to make bulk payments to your employees/vendors III. Tax Payments Designated bank to collect Direct & indirect taxes",0
82,exist bank account bank open smartup current account,"Yes, provided startup is meeting the criteria of date of incorporation / registration of business should not be more than five years from date of account opening.",0
83,technology startup open smartup current account,Yes you can. This product caters to all start-ups with an innovative business idea.,0
84,access service offer smartup programme start bank mn bank,Access to some of the services will depend on the size of the banking relationship,0
85,need pay penalty premature closure fix deposit,"As per the Terms & Conditions of Fixed Deposit Accounts of the bank, the penalty on premature closure of Fixed Deposits, including sweep-in and partial closures, has been fixed by the Bank at the rate of 1% of the fixed deposit interest rate. This is applicable with effect from 24th January, 2011.",0
86,fix deposit advice,"You can now download Fixed Deposit advice through Netbanking in pdf format. With effect from July 13th, 2009 weâ€™ve started sending Fixed Deposit advice over e-mail for Fixed Deposits booked through NetBanking. Physical advice has been discontinued for Fixed Deposits booked through NetBanking. An electronic mail advice is sent to you on your registered e-mail ID within 2-3 working days from the date of booking. You will need to enter the primary Customer Identification Number as a password to open the attachment. If you are registered for e-mail statements, Fixed Deposit advice will be sent to your e-mail ID registered with the Bank. This is applicable for all Fixed Deposit booked / renewed through any mode whether Branch, PhoneBanking or NetBanking. Physical advice is discontinued. In case you do not receive the advice on your e-mail, we request you to check your Spam / Junk folder. Please Note: At any point, if you wish to check your Fixed Deposit holdings, they can be viewed on the Fixed Deposit summary page on NetBanking. In case your e-mail id is not updated with the bank, you are requested to contact the nearest branch and update your e-mail ID. In case you wish to have a physical advice, you may walk into the nearest M&N  bank branch. A copy of the e-mail advice may be submitted to the branch in case of premature liquidation of the deposit. The e-mail advice copy is as acceptable at our branches as the physical advice. View more",0
87,principal fix deposit maturity fix deposit,"When your Fixed Deposit is booked with the quarterly / monthly interest pay out option, the maturity amount is the same as the principal amount. The interest amount will be credited to your account at quarterly / monthly intervals.",0
88,mn bank offer preferential rate interest fix deposit senior citizen,"We offer preferential rate of interest on Fixed Deposits for Senior Citizens. If you are a senior citizen, all you need to do is register as one by calling any Branch with proof of your Date of Birth. Once registered as a Senior Citizen, you are eligible for preferential rates of interest on Fixed Deposits opened through NetBanking as well. Click here to Interest Rates on Fixed Deposits. The Fixed Deposit will be booked in the same combination/ order of names as the existing Current/Savings account, from which the funds are being transferred. View more",0
89,register mn bank netbanke facility,"In case you are not registered for the NetBanking facility, we request you to visit the following URL. Click here for how to register:",0
